gang,motorcycle,S,3
cake,cake,M,4
guard,guard,M,4
pat,pan,C,1
dig,rake,S,3
team,teen,C,1
comb,comb,M,4
bead,ring,S,3
date,watch,S,3
beak,beak,M,4
bet,pet,O,1
beet,bat,V,2
beard,beard,M,4
pup,pup,M,4
gong,bell,S,3
dock,dock,M,4
cop,cog,C,1
pit,pit,M,4
bit,pit,O,1
pet,pet,M,4
cape,cop,V,2
park,park,M,4
back,pack,O,1
bean,bean,M,4
cart,cart,M,4
gate,gate,M,4
can,cane,V,2
pot,pot,M,4
cat,cat,M,4
card,card,M,4
den,den,M,4
pen,pen,M,4
cane,crutch,S,3
cup,cup,M,4
dirt,stones,S,3
bud,leaf,S,3
gown,gown,M,4
pop,pot,C,1
bad,bag,C,1
pad,pencil,S,3
dot,dot,M,4
kite,balloon,S,3
keg,keg,M,4
pod,pot,C,1
tongue,tongue,M,4
kick,tick,O,1
bib,bib,M,4
cod,cot,C,1
book,newspaper,S,3
bird,bird,M,4
bid,bid,M,4
tap,cap,O,1
peak,peak,M,4
time,time,M,4
bite,beet,V,2
bake,bite,V,2
gum,gum,M,4
barn,barn,M,4
peg,peg,M,4
beam,bean,C,1
bug,bug,M,4
pin,pin,M,4
bone,bone,M,4
tub,tub,M,4
pick,puck,V,2
cone,pyramid,S,3
tag,tag,M,4
dip,dip,M,4
dine,dime,C,1
buck,duck,O,1
bed,bed,M,4
palm,palm,M,4
dime,dime,M,4
big,pig,O,1
calm,palm,O,1
bat,bird,S,3
king,queen,S,3
type,handwrite,S,3
tape,paperclip,S,3
babe,bib,V,2
gun,gum,C,1
dart,dart,M,4
boot,sneaker,S,3
bag,bag,M,4
bike,skateboard,S,3
pig,cow,S,3
pan,pan,M,4
bark,meow,S,3
boot,boot,M,4
part,tart,O,1
tack,tack,M,4
boat,boat,M,4
bait,boot,V,2
peck,peck,M,4
beg,peg,O,1
duck,duck,M,4
coop,cup,V,2
cob,cub,V,2
coin,coin,M,4
cap,cap,M,4
