audio, image, foil, correct, sample, time, trigger, group, i_trial, block, response_time, subject
gang, motorcycle, S, 1, 26092, 21.567, 3, 202, 1, B1, 2.502, WPM_01
cake, cake, M, 1, 32404, 26.784, 4, 203, 2, B1, 1.773, WPM_01
guard, guard, M, 1, 36556, 30.216, 4, 203, 3, B1, 1.648, WPM_01
pat, pan, F, 1, 40788, 33.714, 1, 201, 4, B1, 1.835, WPM_01
dig, rake, S, 1, 45491, 37.601, 3, 202, 5, B1, 1.956, WPM_01
team, teen, F, 1, 49829, 41.187, 1, 201, 6, B1, 1.784, WPM_01
comb, comb, M, 1, 55163, 45.596, 4, 203, 7, B1, 1.745, WPM_01
bead, ring, S, 1, 60104, 49.68, 3, 202, 8, B1, 1.764, WPM_01
date, watch, S, 1, 64283, 53.134, 3, 202, 9, B1, 2.054, WPM_01
beak, beak, M, 1, 69454, 57.408, 4, 203, 10, B1, 1.772, WPM_01
bet, pet, I, 1, 74270, 61.389, 1, 201, 11, B1, 1.882, WPM_01
beet, bat, V, 1, 78961, 65.266, 2, 201, 12, B1, 1.814, WPM_01
beard, beard, M, 1, 83482, 69.003, 4, 203, 13, B1, 1.913, WPM_01
pup, pup, M, 0, 88904, 73.485, 4, 303, 14, B1, 1.969, WPM_01
gong, bell, S, 1, 93509, 77.291, 3, 202, 15, B1, 2.306, WPM_01
dock, dock, M, 1, 99040, 81.863, 4, 203, 16, B1, 1.664, WPM_01
cop, cog, F, 1, 103733, 85.742, 1, 201, 17, B1, 1.768, WPM_01
pit, pit, M, 0, 108680, 89.831, 4, 303, 18, B1, 2, WPM_01
bit, pit, I, 1, 113291, 93.642, 1, 201, 19, B1, 2.175, WPM_01
pet, pet, M, 1, 118205, 97.704, 4, 203, 20, B1, 1.623, WPM_01
cape, cop, V, 1, 122702, 101.421, 2, 201, 21, B1, 1.885, WPM_01
park, park, M, 1, 127510, 105.395, 4, 203, 22, B1, 1.68, WPM_01
back, pack, I, 1, 131880, 109.007, 1, 201, 23, B1, 2.336, WPM_01
bean, bean, M, 1, 136955, 113.202, 4, 203, 24, B1, 1.549, WPM_01
cart, cart, M, 1, 141164, 116.681, 4, 203, 25, B1, 1.597, WPM_01
